C-rate,Capacity between V window (Ah),Area under ICA curve (Ah),Error %
0.10C,138.97169758845234,138.9683367546868,0.0024183584311589608
0.20C,129.9812760350374,129.9808966971541,0.00029184040570144333
0.30C,125.5402130937096,125.53968819937504,0.000418108526045588
0.40C,122.10266556780695,122.10107704120195,0.001300976188863548
0.50C,118.35880655796643,118.35727623499994,0.0012929523463372798
