C-rate,Capacity between V window (Ah),Area under ICA curve (Ah),Error %
0.10C,143.82535282651088,143.82528956554646,4.398457099599472e-05
0.20C,143.61423911070813,143.61409630977516,9.943368697086258e-05
0.30C,143.34093658845958,143.34087112864745,4.5667213911325795e-05
0.40C,142.92632311361,142.9258768869149,0.000312207496419857
0.50C,142.3045165761388,142.30347108360408,0.0007346868250450665
