cell_name,cycle_no,step_no,step_name,max_c_rate,low_knee_soc,low_knee_voltage,high_knee_soc,high_knee_voltage
RD_RateCapability_0001,1,2,CC_DChg,-0.3332994266666667,4.35461528278341,2.99561303960273,99.22889235915062,3.2535013369496646
RD_RateCapability_0001,1,4,CCCV_Chg,0.10000112,4.9572880956356595,3.2329720315518258,99.13236438718032,3.459730486266233
RD_RateCapability_0001,1,6,CC_DChg,-0.0999660866666666,2.434666746146833,2.968123914563321,99.03194615527299,3.299237142055483
RD_RateCapability_0001,1,8,CCCV_Chg,0.19999638,5.138973640090278,3.2541526885228045,97.93890237027946,3.4654984232264647
RD_RateCapability_0001,1,10,CC_DChg,-0.1999665933333333,3.1971894310184394,2.978597687371117,99.03900556836851,3.2824942385125087
RD_RateCapability_0001,1,12,CCCV_Chg,0.2999967066666666,5.044602096718918,3.268859590498963,97.42658781662351,3.4751546541458063
RD_RateCapability_0001,1,14,CC_DChg,-0.2999667866666666,3.911354198463286,2.9906416155510436,99.04139274928822,3.267798051455437
RD_RateCapability_0001,1,16,CCCV_Chg,0.3999984,4.929137243372276,3.2825509668200903,97.00513197699516,3.482620231829957
RD_RateCapability_0001,1,18,CC_DChg,-0.3999661933333333,4.185658799849298,2.9893096673566433,99.0419255026595,3.256262356566597
RD_RateCapability_0001,1,20,CCCV_Chg,0.4999959933333333,4.874949508351264,3.2919567243253747,99.10899765804108,3.6500867021219006
RD_RateCapability_0001,1,22,CC_DChg,-0.49996604,4.201337724927344,2.9830259947917233,99.06364947774607,3.245541584905628
RD_RateCapability_0001,2,4,CCCV_Chg,0.10000258,24.88211285807213,3.3307045101098707,99.08799478011068,3.4456794233494987
RD_RateCapability_0001,2,6,CC_DChg,-0.0999665,5.241996439248183,3.132859253478033,99.03671295110126,3.300201920538723
RD_RateCapability_0001,2,8,CCCV_Chg,0.1999982266666666,5.152971437559356,3.252730316148343,98.10944065977472,3.4636233350593812
RD_RateCapability_0001,2,10,CC_DChg,-0.1999661266666666,2.9705946747104206,2.973951131992848,99.03943810847865,3.284905894515169
RD_RateCapability_0001,2,12,CCCV_Chg,0.2999976666666666,5.0940418573377375,3.2654562157428453,97.70470866543862,3.4727426987428927
RD_RateCapability_0001,2,14,CC_DChg,-0.2999663933333333,3.7288429322933823,2.9858364465190372,99.03472267680849,3.2708943573565312
RD_RateCapability_0001,2,16,CCCV_Chg,0.3999986066666667,4.9470697111424995,3.2807400894636425,97.16811814027237,3.4819737775874757
RD_RateCapability_0001,2,18,CC_DChg,-0.3999672,3.9584900825546687,2.984949165694055,99.05954289147209,3.256872696426175
RD_RateCapability_0001,2,20,CCCV_Chg,0.4999989666666666,4.92472941113417,3.2926708532951476,99.26897638931129,3.6500798269808956
RD_RateCapability_0001,2,22,CC_DChg,-0.4999660733333333,3.89568778428834,2.9798288741219094,99.04718833871978,3.245260376439961
RD_RateCapability_0001,3,4,CCCV_Chg,0.1000068066666666,4.998233163559503,3.2317628443421356,99.22251978272593,3.458106535442343
RD_RateCapability_0001,3,6,CC_DChg,0.0,5.2381280975469,3.1311467573343523,99.04399910972053,3.3022221357809736
RD_RateCapability_0001,3,8,CCCV_Chg,0.1999974266666666,5.135229576686115,3.252877560203458,97.90039955802999,3.464874719006357
RD_RateCapability_0001,3,10,CC_DChg,-0.1999660466666666,3.177384479781047,2.9777602099097362,99.03889937314901,3.2827846612903615
RD_RateCapability_0001,3,12,CCCV_Chg,0.2999982466666667,5.032559244148887,3.26877158595093,97.67684637605699,3.4732803096237364
RD_RateCapability_0001,3,14,CC_DChg,-0.2999667466666667,3.623987230117878,2.9839205696153903,99.0358321007799,3.2694730780027315
RD_RateCapability_0001,3,16,CCCV_Chg,0.3999987066666666,4.986762448842692,3.2801199118095083,97.10252424878564,3.4830731180286203
RD_RateCapability_0001,3,18,CC_DChg,-0.3999661466666667,3.892645434741338,2.986049234147172,99.04139524305567,3.255755181665198
RD_RateCapability_0001,3,20,CCCV_Chg,0.4999991533333333,4.960222745566663,3.2914043087632865,97.01623346365227,3.4899212901439607
RD_RateCapability_0001,3,22,CC_DChg,-0.4999661466666666,3.779596732876362,2.9780403542058194,99.04671404533896,3.246019508460961
