cell_name,cycle_no,step_no,step_name,c_rate,auc_ahv,max_c_rate,low_knee_soc,low_knee_voltage,high_knee_soc,high_knee_voltage,abs_max_capacity
RD_RateCapability_0001,1,2,CC_DChg,-0.3332994266666667,103.55379013500004,-0.3332994266666667,4.748664376079925,3.000296,23.30440309030605,3.168954,151.053
RD_RateCapability_0001,1,4,CCCV_Chg,0.10000112,47.75808469699997,0.10000112,5.27986798679868,3.230908,98.34521452145214,3.435455,151.5
RD_RateCapability_0001,1,6,CC_DChg,-0.0999660866666666,112.39752250899996,-0.0999660866666666,4.005136638515616,3.056831,24.056371986974945,3.220273,152.629
RD_RateCapability_0001,1,8,CCCV_Chg,0.19999638,45.168225137,0.19999638,5.08336722244815,3.23562,97.44454210339896,3.461671,152.458
RD_RateCapability_0001,1,10,CC_DChg,-0.1999665933333333,108.88714836549995,-0.1999665933333333,4.254508925933454,3.029296,23.05444852241168,3.196224,152.309
RD_RateCapability_0001,1,12,CCCV_Chg,0.2999967066666666,42.73170389349998,0.2999967066666666,5.121605294951936,3.257039,96.85349582392185,3.473006,152.296
RD_RateCapability_0001,1,14,CC_DChg,-0.2999667866666666,106.02816543000002,-0.2999667866666666,4.497270993621361,3.008381,22.79542316038666,3.176335,152.07
RD_RateCapability_0001,1,16,CCCV_Chg,0.3999984,40.606130374,0.3999984,5.15173039737974,3.276636,96.39977375268012,3.481798,152.046
RD_RateCapability_0001,1,18,CC_DChg,-0.3999661933333333,104.09884210899996,-0.3999661933333333,4.498108241487076,2.99152,22.297746339858527,3.162478,151.975
RD_RateCapability_0001,1,20,CCCV_Chg,0.4999959933333333,39.027208607500015,0.4999959933333333,5.168839544847284,3.28849,95.99207628875476,3.488076,151.949
RD_RateCapability_0001,1,22,CC_DChg,-0.49996604,102.51924852549998,-0.49996604,4.503360077930118,2.984038,22.28906543101804,3.151556,151.931
RD_RateCapability_0001,2,4,CCCV_Chg,0.10000258,47.9019858495,0.10000258,5.531407647422978,3.239147,98.3318186009141,3.431984,151.842
RD_RateCapability_0001,2,6,CC_DChg,-0.0999665,112.7438208334999,-0.0999665,4.008324225984417,3.058051,24.05779839928799,3.220316,152.807
RD_RateCapability_0001,2,8,CCCV_Chg,0.1999982266666666,45.55824433199998,0.1999982266666666,5.0768736939333,3.233354,97.81661677137036,3.46517,152.653
RD_RateCapability_0001,2,10,CC_DChg,-0.1999661266666666,109.55441816550002,-0.1999661266666666,4.2526119721127404,3.039248,23.048973247371627,3.199642,152.471
RD_RateCapability_0001,2,12,CCCV_Chg,0.2999976666666666,43.32074625550001,0.2999976666666666,5.107401698750532,3.251036,97.36988817105566,3.475396,152.465
RD_RateCapability_0001,2,14,CC_DChg,-0.2999663933333333,106.55562111000002,-0.2999663933333333,4.5052091892069495,3.014967,22.54905182896769,3.17908,152.135
RD_RateCapability_0001,2,16,CCCV_Chg,0.3999986066666667,40.88391314449999,0.3999986066666667,5.139415775251646,3.273739,96.7613199297826,3.484169,152.099
RD_RateCapability_0001,2,18,CC_DChg,-0.3999672,104.43032063649996,-0.3999672,4.4991416111399785,2.999236,22.79630859901729,3.166227,152.029
RD_RateCapability_0001,2,20,CCCV_Chg,0.4999989666666666,39.20868039800002,0.4999989666666666,5.153642218552849,3.287083,96.32521758580084,3.490052,152.009
RD_RateCapability_0001,2,22,CC_DChg,-0.4999660733333333,103.040319035,-0.4999660733333333,4.505897133986303,2.996609,22.80115508837478,3.157297,152.023
RD_RateCapability_0001,3,4,CCCV_Chg,0.1000068066666666,48.22952420449998,0.1000068066666666,5.531167113117765,3.235713,98.31116434885053,3.427232,151.939
RD_RateCapability_0001,3,6,CC_DChg,0.0,112.7868980955,0.0,4.008514819060094,3.056439,23.81398395284101,3.219769,152.675
RD_RateCapability_0001,3,8,CCCV_Chg,0.1999974266666666,45.26087080249998,0.1999974266666666,5.0878136435776025,3.234643,97.46068388399944,3.462286,152.482
RD_RateCapability_0001,3,10,CC_DChg,-0.1999660466666666,108.875381969,-0.1999660466666666,4.254466631634268,3.029671,23.052417235943256,3.195898,152.24
RD_RateCapability_0001,3,12,CCCV_Chg,0.2999982466666667,43.03518372450002,0.2999982466666667,5.106799432504861,3.256684,97.138878671641,3.471358,152.248
RD_RateCapability_0001,3,14,CC_DChg,-0.2999667466666667,106.5290110255,-0.2999667466666667,4.499184596769956,3.018414,23.298174548897897,3.181557,152.072
RD_RateCapability_0001,3,16,CCCV_Chg,0.3999987066666666,40.96392363599999,0.3999987066666666,5.141511605727553,3.271534,96.525845682301,3.482032,152.037
RD_RateCapability_0001,3,18,CC_DChg,-0.3999661466666667,104.47941958250004,-0.3999661466666667,4.500467222068672,3.003761,23.29990392334925,3.169124,151.962
RD_RateCapability_0001,3,20,CCCV_Chg,0.4999991533333333,39.49252775000002,0.4999991533333333,5.155575444877329,3.284432,96.37517110666526,3.488269,151.952
RD_RateCapability_0001,3,22,CC_DChg,-0.4999661466666666,103.185053824,-0.4999661466666666,4.503378356151789,3.000411,23.54256991914315,3.159536,151.997
RD_RateCapability_0003,1,2,CC_DChg,-0.3332993666666667,104.67476638950002,-0.3332993666666667,4.503964595242483,2.987266,22.295250388556678,3.169149,151.844
RD_RateCapability_0003,1,4,CCCV_Chg,0.09999792,47.87019059799999,0.09999792,5.2833088158033,3.23756,98.37658926132184,3.438487,152.272
RD_RateCapability_0003,1,6,CC_DChg,-0.09996642,113.43429869399998,-0.09996642,4.007215984578105,3.060519,24.05762367468153,3.222685,153.548
