step_no,abs_max_capacity,c_rate,auc_ahv,low_knee_soc,low_knee_voltage,high_knee_soc,high_knee_voltage,max_c_rate
2,150.626,-0.3332999273015873,103.21200542388095,4.62189901030091,2.9917811904761904,23.361302849896397,3.166525666666667,-0.3332999273015873
4,151.6317619047619,0.10003045407407403,48.05280036526984,5.303935796296136,3.2328226507936506,98.32178764872953,3.4322582063492066,0.10003045407407403
6,151.8960634920635,-0.06664446042328039,111.94330212315872,3.8804947685729694,3.052253253968254,23.709490131328145,3.2185969047619047,-0.06664446042328039
8,152.24944444444444,0.19999913735449734,45.462572143936505,5.06523650666974,3.234999015873016,97.49745164962425,3.462708777777778,0.19999913735449734
10,151.72436507936507,-0.19361852285714282,108.66265275287303,4.120364233839115,3.0271179841269844,23.07322972350522,3.196073968253968,-0.19361852285714282
12,152.02133333333333,0.3000010281481481,43.19009044804762,5.0908477352619705,3.253691650793651,96.9309495824769,3.472968015873016,0.3000010281481481
14,151.5267619047619,-0.29996665227513225,105.96348721415873,4.371983559827006,3.0062324761904766,22.53778023277901,3.176687984126984,-0.29996665227513225
16,151.7007142857143,0.40000150105820104,40.99462278749206,5.104244207879562,3.2714818888888892,96.26290821298159,3.4814535396825397,0.40000150105820104
18,151.39728571428572,-0.35552594476190474,103.88548431328572,4.481471469914263,2.9925184920634917,22.63775160600393,3.1632183492063493,-0.35552594476190474
20,151.54001587301588,0.5000042408465608,39.38059499318254,5.0754128413401025,3.283133888888889,95.92481475999175,3.4890619999999997,0.5000042408465608
22,151.29328571428573,-0.39679891989417987,102.24846948961905,4.514594026650134,2.9826025555555558,22.50637738843075,3.1529990158730157,-0.39679891989417987
