cell_name,cycle_no,step_no,step_name,c_rate,auc_ahv
RD_RateCapability_0004,1,6,CC_DChg,-0.0999669733333333,113.66382922749995
RD_RateCapability_0004,1,10,CC_DChg,-0.19996672,110.7309816855
RD_RateCapability_0004,1,14,CC_DChg,-0.2999671933333333,108.62058554599999
RD_RateCapability_0004,1,18,CC_DChg,-0.3999668866666667,107.23717474700003
RD_RateCapability_0004,1,22,CC_DChg,-0.49996644,105.6111491
RD_RateCapability_0004,2,4,CCCV_Chg,0.1000086866666666,48.679482230999994
RD_RateCapability_0004,2,8,CCCV_Chg,0.1999975333333333,46.41037611599997
RD_RateCapability_0004,2,12,CCCV_Chg,0.29999762,44.55693009550002
RD_RateCapability_0004,2,16,CCCV_Chg,0.4000074333333333,42.51194335749997
RD_RateCapability_0004,2,20,CCCV_Chg,0.50000026,40.99550719550003
RD_RateCapability_0004,2,6,CC_DChg,-0.0999668933333333,113.93809333699996
RD_RateCapability_0004,2,10,CC_DChg,-0.1999661666666666,111.22352608899998
RD_RateCapability_0004,2,14,CC_DChg,-0.2999668,108.69702856599996
RD_RateCapability_0004,2,18,CC_DChg,-0.3999667933333333,107.07396010699998
RD_RateCapability_0004,2,22,CC_DChg,-0.4999665533333333,105.63915580699998
RD_RateCapability_0004,3,4,CCCV_Chg,0.1000067666666666,48.95468567249999
RD_RateCapability_0004,3,8,CCCV_Chg,0.2000000266666666,46.138230283999974
RD_RateCapability_0004,3,12,CCCV_Chg,0.30000204,44.29814096299998
RD_RateCapability_0004,3,16,CCCV_Chg,0.4000129866666667,42.388632753999985
RD_RateCapability_0004,3,20,CCCV_Chg,0.500008,40.96299091450001
RD_RateCapability_0004,3,6,CC_DChg,0.0,113.89545822249995
RD_RateCapability_0004,3,10,CC_DChg,-0.1999660666666666,110.62753688349999
RD_RateCapability_0004,3,14,CC_DChg,-0.2999670933333333,108.69330099349999
RD_RateCapability_0004,3,18,CC_DChg,0.0,107.139185853
RD_RateCapability_0004,3,22,CC_DChg,-0.4999665799999999,105.52422563649998
RD_RateCapability_0007,1,4,CCCV_Chg,0.1000021733333333,46.00804320000004
RD_RateCapability_0007,1,8,CCCV_Chg,0.2000050733333333,42.9277450205
RD_RateCapability_0007,1,12,CCCV_Chg,0.2999962,40.55731228249998
RD_RateCapability_0007,1,16,CCCV_Chg,0.40001228,38.510132711500006
RD_RateCapability_0007,1,20,CCCV_Chg,0.5000074133333334,37.33578114250001
